item_id,target_word,target_level,target_POS,tested_sense_desc,condition,foil_type,foil_subtype,review_priority,ljt_eligibility,sentence_text,syntactic_frame,rationale,known_risks,llm_draft_version
uvlt_1k_t01_i01,price,1K,noun,cost,appropriate,NA,,routine,eligible,The price of milk is low.,N-subj_copula_AdjP,cost sense forced by copula+gradable adj 'low'; price is +abstract/-animate so 'sounds angry' violates animacy/emotional predicate,,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t01_i01,price,1K,noun,cost,inappropriate,a_selectional,a_selectional,routine,eligible,The price of milk sounds angry.,N-subj_copula_AdjP,price is -animate/-sentient; predicate 'sounds angry' requires +sentient subject,,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t01_i02,photograph,1K,noun,picture,appropriate,NA,,routine,eligible,She showed me an old photograph.,SVO,picture sense forced by 'old' + transfer verb 'show',,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t01_i02,photograph,1K,noun,picture,inappropriate,a_selectional,a_selectional,routine,eligible,She ate an old photograph happily.,SVO,photograph is -edible; 'eat' requires +edible direct object,,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t01_i03,garden,1K,noun,place where things grow outside,appropriate,NA,,routine,eligible,Flowers grew in the small garden.,SV-PP,place-where-things-grow sense forced by 'flowers grew in',,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t01_i03,garden,1K,noun,place where things grow outside,inappropriate,a_selectional,a_selectional,routine,eligible,Flowers grew in the loud garden.,SV-PP,garden (place) is -audible; adj 'loud' requires +audible modified noun,,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t02_i01,eye,1K,noun,body part that sees,appropriate,NA,,careful,careful,The baby opened her right eye.,SVO,body-part sense forced by 'right' + 'opened',"careful item: eye is polysemous (needle eye, storm eye). Target preserved.",claude-opus-drafting-v1-2026-04-19
uvlt_1k_t02_i01,eye,1K,noun,body part that sees,inappropriate,b_collocation,b_collocation,careful,careful,The baby measured her right eye.,SVO,verb 'measure' + direct obj 'eye' is non-collocate; 'open/close/rub/shut eye' standard,"careful item: eye is polysemous (needle eye, storm eye). Target preserved.",claude-opus-drafting-v1-2026-04-19
uvlt_1k_t02_i02,father,1K,noun,parent who is a man,appropriate,NA,,careful,careful,Her father works on Saturdays.,SV-PP,parent-who-is-a-man forced by possessive + temporal adjunct,borderline: 'melt' can metaphorically apply to people (heart melts) — risk partial foil rescue; flag for reviewer,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t02_i02,father,1K,noun,parent who is a man,inappropriate,b_collocation,b_collocation,careful,careful,Her father melts on Saturdays.,SV-PP,father (human) + 'melts' is non-collocate; melt is -human_subject typical,borderline: 'melt' can metaphorically apply to people (heart melts) — risk partial foil rescue; flag for reviewer,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t02_i03,night,1K,noun,part of the day with no sun,appropriate,NA,,routine,eligible,She reads books every cold night.,SVO-temporal,part-of-day-with-no-sun forced by temporal reading + modifier 'cold',,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t02_i03,night,1K,noun,part of the day with no sun,inappropriate,b_collocation,b_collocation,routine,eligible,She reads books every pink night.,SVO-temporal,night + color modifier 'pink' is non-collocate (dark/cold/long/quiet night standard),,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t03_i01,uncle,1K,noun,brother of your mother or father,appropriate,NA,,routine,eligible,My uncle lives near the park.,SV-PP,mother/father's brother sense forced by possessive + 'lives',,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t03_i01,uncle,1K,noun,brother of your mother or father,inappropriate,a_selectional,a_selectional,routine,eligible,My uncle grows near the park.,SV-PP,uncle (+human) with 'grows' (+plant typical) violates animacy/growth selection,,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t03_i02,center,1K,noun,middle,appropriate,NA,,careful,careful,Please stand in the center here.,SV-PP,middle sense forced by locative 'stand in the',minority-sense polysemy: community/shopping center. Foil selectional works across senses.,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t03_i02,center,1K,noun,middle,inappropriate,a_selectional,a_selectional,careful,careful,Please stand in the angry center.,SV-PP,center (-animate geometric) + 'angry' (+sentient) violates animacy of modified N,minority-sense polysemy: community/shopping center. Foil selectional works across senses.,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t03_i03,note,1K,noun,short piece of writing,appropriate,NA,,careful,careful,She left a short note here.,SVO,short-piece-of-writing forced by 'left' + size adj 'short',"minority-sense: music note. Foil also fails there, so robust.",claude-opus-drafting-v1-2026-04-19
uvlt_1k_t03_i03,note,1K,noun,short piece of writing,inappropriate,a_selectional,a_selectional,careful,careful,She left a shouting note here.,SVO,note (-animate) + 'shouting' (+animate participle) violates animacy,"minority-sense: music note. Foil also fails there, so robust.",claude-opus-drafting-v1-2026-04-19
uvlt_1k_t04_i01,brother,1K,noun,family member,appropriate,NA,,routine,eligible,Her brother plays tennis after school.,SVO-PP,family-member sense forced by possessive + 'plays tennis',,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t04_i01,brother,1K,noun,family member,inappropriate,b_collocation,b_collocation,routine,eligible,Her brother wraps tennis after school.,SVO-PP,'brother' + 'wraps tennis' is non-collocate; normal: brother plays/watches/likes,,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t04_i02,hour,1K,noun,sixty minutes,appropriate,NA,,routine,eligible,The meeting lasted one full hour.,SVO,sixty-minutes sense forced by 'lasted' + 'one full',,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t04_i02,hour,1K,noun,sixty minutes,inappropriate,b_collocation,b_collocation,routine,eligible,The meeting lasted one pink hour.,SVO,hour + color 'pink' non-collocate (full/whole/short/extra hour standard),,claude-opus-drafting-v1-2026-04-19
